full_name,state,type,party,address,dc_address,url,photoUrl
Maria Cantwell,WA,sen,Democrat,511 Hart Senate Office Building Washington DC 20510,,https://www.cantwell.senate.gov,
Amy Klobuchar,MN,sen,Democrat,425 Dirksen Senate Office Building Washington DC 20510,,https://www.klobuchar.senate.gov,
Bernard Sanders,VT,sen,Independent,332 Dirksen Senate Office Building Washington DC 20510,,https://www.sanders.senate.gov,
Sheldon Whitehouse,RI,sen,Democrat,530 Hart Senate Office Building Washington DC 20510,,https://www.whitehouse.senate.gov,
John Barrasso,WY,sen,Republican,307 Dirksen Senate Office Building Washington DC 20510,,https://www.barrasso.senate.gov,
Roger F. Wicker,MS,sen,Republican,425 Russell Senate Office Building Washington DC 20510,,https://www.wicker.senate.gov,
Susan M. Collins,ME,sen,Republican,413 Dirksen Senate Office Building Washington DC 20510,,https://www.collins.senate.gov,
John Cornyn,TX,sen,Republican,517 Hart Senate Office Building Washington DC 20510,,https://www.cornyn.senate.gov,
Richard J. Durbin,IL,sen,Democrat,711 Hart Senate Office Building Washington DC 20510,,https://www.durbin.senate.gov,
Lindsey Graham,SC,sen,Republican,211 Russell Senate Office Building Washington DC 20510,,https://www.lgraham.senate.gov/public,
Mitch McConnell,KY,sen,Republican,317 Russell Senate Office Building Washington DC 20510,,https://www.mcconnell.senate.gov,
Jeff Merkley,OR,sen,Democrat,531 Hart Senate Office Building Washington DC 20510,,https://www.merkley.senate.gov,
Jack Reed,RI,sen,Democrat,728 Hart Senate Office Building Washington DC 20510,,https://www.reed.senate.gov,
James E. Risch,ID,sen,Republican,483 Russell Senate Office Building Washington DC 20510,,https://www.risch.senate.gov,
Jeanne Shaheen,NH,sen,Democrat,506 Hart Senate Office Building Washington DC 20510,,https://www.shaheen.senate.gov,
Mark R. Warner,VA,sen,Democrat,703 Hart Senate Office Building Washington DC 20510,,https://www.warner.senate.gov,
Kirsten E. Gillibrand,NY,sen,Democrat,478 Russell Senate Office Building Washington DC 20510,,https://www.gillibrand.senate.gov,
Christopher A. Coons,DE,sen,Democrat,218 Russell Senate Office Building Washington DC 20510,,https://www.coons.senate.gov,
Robert B. Aderholt,AL,rep,Republican,272 Cannon House Office Building Washington DC 20515-0104,,https://aderholt.house.gov,
Tammy Baldwin,WI,sen,Democrat,141 Hart Senate Office Building Washington DC 20510,,https://www.baldwin.senate.gov,
Michael F. Bennet,CO,sen,Democrat,261 Russell Senate Office Building Washington DC 20510,,https://www.bennet.senate.gov,
Gus M. Bilirakis,FL,rep,Republican,2306 Rayburn House Office Building Washington DC 20515-0912,,https://bilirakis.house.gov,
"Sanford D. Bishop, Jr.",GA,rep,Democrat,2407 Rayburn House Office Building Washington DC 20515-1002,,https://bishop.house.gov,
Marsha Blackburn,TN,sen,Republican,357 Dirksen Senate Office Building Washington DC 20510,,https://www.blackburn.senate.gov,
Richard Blumenthal,CT,sen,Democrat,503 Hart Senate Office Building Washington DC 20510,,https://www.blumenthal.senate.gov,
John Boozman,AR,sen,Republican,555 Dirksen Senate Office Building Washington DC 20510,,https://www.boozman.senate.gov/public,
Vern Buchanan,FL,rep,Republican,2409 Rayburn House Office Building Washington DC 20515-0916,,https://buchanan.house.gov,
Ken Calvert,CA,rep,Republican,2205 Rayburn House Office Building Washington DC 20515-0541,,https://calvert.house.gov,
Shelley Moore Capito,WV,sen,Republican,170 Russell Senate Office Building Washington DC 20510,,https://www.capito.senate.gov,
André Carson,IN,rep,Democrat,2135 Rayburn House Office Building Washington DC 20515-1407,,https://carson.house.gov,
John R. Carter,TX,rep,Republican,2208 Rayburn House Office Building Washington DC 20515-4331,,https://carter.house.gov,
Bill Cassidy,LA,sen,Republican,455 Dirksen Senate Office Building Washington DC 20510,,https://www.cassidy.senate.gov,
Kathy Castor,FL,rep,Democrat,2188 Rayburn House Office Building Washington DC 20515-0914,,https://castor.house.gov,
Judy Chu,CA,rep,Democrat,2423 Rayburn House Office Building Washington DC 20515-0528,,https://chu.house.gov,
Yvette D. Clarke,NY,rep,Democrat,2058 Rayburn House Office Building Washington DC 20515-3209,,https://clarke.house.gov,
